STATE,COUNTY,POPESTIMATE2017
30,101,4886
30,103,679
30,105,7433
30,107,2140
30,109,1020
30,111,15898031,1,31678
31,3,6362
31,5,457
31,7,742
31,9,482
31,11,5352
31,13,10886
31,15,1977
31,17,3014
31,19,49732
31,21,6535
31,23,8053
31,25,25889
31,27,8530
31,29,3971
31,31,5818
31,33,9676
31,35,6205
31,37,10585
31,39,9042
31,41,10897
31,43,20186
31,45,8890
31,47,23709
31,49,1883
31,51,5754
31,53,36707
31,55,561620
31,57,1801
31,59,5582
31,61,2990
31,63,2631
31,65,4780
31,67,21601
31,69,1906
31,71,2016
31,73,2028
31,75,649
31,77,2374
31,79,61519
31,81,9207
31,83,3443
31,85,893
31,87,2834
31,89,10202
31,91,674
31,93,6437
31,95,7178
31,97,5185
31,99,6530
31,101,8072
31,103,793
31,105,3619
31,107,8472
31,109,314358
31,111,35280
31,113,768
31,115,609
31,117,499
31,119,35144
31,121,7882
31,123,4836
31,125,3607
31,127,6949
31,129,4275
31,131,16027
31,133,2641
31,135,2903
31,137,9060
31,139,7138
31,141,33175
31,143,5328
31,145,10728
31,147,7969
31,149,1436
31,151,14441
31,153,181439
31,155,21057
31,157,36363
31,159,17161
31,161,5289
31,163,3086
31,165,1203
31,167,5988
31,169,5045
31,171,725
31,173,7223
31,175,4209
31,177,20721
31,179,9318
31,181,3524
31,183,818
31,185,1380632,1,24230
32,3,2204079
32,5,48309
32,7,52649
32,9,850
32,11,1961
32,13,16826
32,15,5693
32,17,5223
32,19,54122
32,21,4457
32,23,44202
32,27,6508
32,29,4006
32,31,460587
32,33,9592
32,510,5474533,1,60785
33,3,48064
33,5,75960
33,7,31634
33,9,89386
33,11,409697
33,13,149216
33,15,306363
33,17,128613
33,19,4307734,1,269918
34,3,948406
34,5,448596
34,7,510719
34,9,93553
34,11,152538
34,13,808285
34,15,292206
34,17,691643
34,19,125059
34,21,374733
34,23,842798
34,25,626351
34,27,499693
34,29,597943
34,31,512607
34,33,62792
34,35,335432
34,37,141682
34,39,563892
34,41,10679835,1,676773
35,3,3587
35,5,64866
35,6,26853
35,7,12174
35,9,49812
35,11,1829
35,13,215579
35,15,56997
35,17,27687
35,19,4429
35,21,692
35,23,4305
35,25,68759
35,27,19395
35,28,18738
35,29,24078
35,31,72564
35,33,4551
35,35,65817
35,37,8306
35,39,39159
35,41,18847
35,43,142507
35,45,126926
35,47,27748
35,49,148750
35,51,11116
35,53,16798
35,55,32795
35,57,15506
35,59,4187
35,61,7594036,1,309612
36,3,46894
36,5,1471160
36,7,193639
36,9,77348
36,11,77603
36,13,129046
36,15,85557
36,17,47863
36,19,80980
36,21,60604
36,23,47786
36,25,45001
36,27,295568
36,29,925528
36,31,37956
36,33,51116
36,35,53877
36,37,57956
36,39,47470
36,41,4485
36,43,62240
36,45,114187
36,47,2648771
36,49,26551
36,51,63799
36,53,70965
36,55,747642
36,57,49258
36,59,1369514
36,61,1664727
36,63,211328
36,65,231332
36,67,465398
36,69,109899
36,71,382226
36,73,40983
36,75,118478
36,77,60094
36,79,99323
36,81,2358582
36,83,159722
36,85,479458
36,87,328868
36,89,109623
36,91,229869
36,93,155565
36,95,31420
36,97,18000
36,99,34498
36,101,96281
36,103,1492953
36,105,75485
36,107,48578
36,109,104802
36,111,179417
36,113,64532
36,115,61620
36,117,90670
36,119,980244
36,121,40493
36,123,2495537,1,162391
37,3,37286
37,5,11031
37,7,24991
37,9,26957
37,11,17536
37,13,47088
37,15,19224
37,17,33478
37,19,130897
37,21,257607
37,23,89293
37,25,206872
37,27,81981
37,29,10581
37,31,68881
37,33,22646
37,35,157974
37,37,71472
37,39,28087
37,41,14105
37,43,11074
37,45,97334
37,47,55936
37,49,102578
37,51,332546
37,53,26331
37,55,36099
37,57,165466
37,59,42456
37,61,59039
37,63,311640
37,65,52747
37,67,376320
37,69,66168
37,71,220182
37,73,11544
37,75,8541
37,77,59557
37,79,21015
37,81,526953
37,83,51310
37,85,132754
37,87,61084
37,89,115708
37,91,23906
37,93,54116
37,95,5363
37,97,175711
37,99,42973
37,101,196708
37,103,9597
37,105,60430
37,107,56883
37,109,82403
37,111,45159
37,113,34732
37,115,21746
37,117,22789
